label,text
th? thao,"Ali l… m?t v? s? h?ng n?ng h…ng ??u c?a th? k? 20, v… “ng v?n l… nh… v“ ??ch ba l?n duy nh?t c?a l?nh v?c n…y. K? l?c c?a “ng l… ? nh b?i 21 v? s? gi?i h?ng n?ng th? gi?i v… gi…nh ???c 14 danh hi?u tr?n ??u ?? t?n t?i trong 35 n?m. Ali l… v? s? duy nh?t ???c vinh danh l… v? s? c?aÿThe Ringÿ6 l?n. ?? ???c x?p h?ng l… v? s? h?ng n?ng gi?i nh?t m?i th?i ??i, v… l… v?n ??ng viˆn v? ??i nh?t th? k? 20 theo Sports Illustrated, Sports Person of the Century c?a BBC v… l… v?n ??ng viˆn v? ??i th? ba c?a th? k? 20 theo ESPN SportsCentury. ?ng ?? tham gia v…o nhi?u tr?n ??u quy?n anh l?ch s?, ? ng ch£ ? nh?t l… tr?n ??u Joe Frazier, v… tr?n v?i George Foreman ???c g?i l… ""The Rumble in the Jungle"" ???c g?i l… ""s? ki?n th? thao l?n nh?t th? k? 20"" v… ???c theo d?i b?i kh n gi? truy?n hnh ??c t¡nh t?i 1 t? ng??i trˆn to…n th? gi?i, tr? th…nh ch??ng trnh truy?n hnh tr?c ti?p ???c xem nhi?u nh?t trˆn th? gi?i v…o th?i ?i?m ?¢."
th? thao,"Nick Kyrgios ?o?t danh hi?u ATP th? b?y trong s? nghi?p khi h? Yoshihito Nishioka 6-4, 6-3 ? gi?i Citi Open ng…y 7/8. Danh hi?u g?n nh?t c?aÿKyrgiosÿc?ng l… ? Citi Open t?i Washington n?m 2019. Tay v?t Australia kh“ng thua game giao b¢ng n…o trˆn ???ng v“ ??ch gi?i n?m nay. Anh ch? thua m?t set d??i tay Frances Tiafoe ? t? k?t. Kyrgios c?u to…n b? 10 break-point ??i m?t t? ??u gi?i, g?m m?t l?n ? tr?n chung k?t v?i Nishioka."
th? thao,"Richard Donovan mang theo tro c?t b?n thƒn ch?y h?n 5.000 km qua nhi?u bang n??c M? r?i d?ng l?i ? California h“m 31/7 ?? trao tr? cho gia ?nh. Richard ?? ch?y qua 14 bang c?a M? v?i m?t dƒy chuy?n ch?a tro c?t c?a Alvin Matthews - ng??i b?n thƒn m?t v ch?ng t?n th??ng t?y s?ng. Th ng 4/2021, trong l£c ?i?u tr? ch?n th??ng ??u g?i t?i bang San Francisco, Richard ?? ??n th?m Matthews v… k? anh nghe v? d? ??nh ch?y xuyˆn n??c M?. Donovan mong mu?n ng??i b?n thƒn c¢ th? c—ng ??ng h…nh trong chuy?n ?i ?¢. Tuy v?y, Matthews ?? qua ??i hai ng…y sau ?¢. ?? th?c hi?n l?i h?a, Donovan ?? b?t ??u h…nh trnh ch?y 5.150 km k‚o d…i trong su?t 3 th ng, mang tro c?t c?a Matthews trao cho m? c?a ng??i b?n thƒn."
th? thao,"Negative splits l… ph??ng ph p t?p luy?n hi?u qu? gi£p runner c?i thi?n s?c b?n v… t?c ?? theo th?i gian. Theo ??nh ngh?a c?a trang Dash Virtual, split (phƒn ?o?n) l… kho?ng th?i gian c?n ?? ho…n th…nh m?t qu?ng ???ng nh?t ??nh. V¡ d?, n?u b?n ch?y 5km, th?i gian ?? ho…n th…nh m?i kilomet ???c g?i l… m?t split. D—ng c c phƒn ?o?n l… ph??ng ph p hi?u qu? ?? ?o l??ng t?c ?? khi ch?y, gi£p b?n c?i thi?n ch?t l??ng t?p luy?n v… ?o l??ng s?c l?c. Trˆn th?c t?, ch?y negative splits c¢ ngh?a l… b?n b?t nh?p ? t?c ?? ch?m h?n, r?i t?ng d?n trong qu  trnh ch?y. ?“i khi ph??ng ph p n…y c•n ???c g?i l… progression run, khi b?n ch?y nhanh d?n lˆn qua c c ph?n nh? c?a m?t b…i t?p."
th? thao,"Gi?i Lof Kun Happy Run h£t 3.000 em nh? chinh ph?c ???ng ?ua 800 m v… tham gia ??ng di?n flashmob v…o ng…y 6/8 t?i ph? ?i b? Nguy?n Hu?, Qu?n 1. C c runner nh¡ thu?c ?? tu?i d??i 15 tu?i, chia l…m 10 l??t ch?y, trˆn cung ???ng v•ng quanh ph? ?i b? Nguy?n Hu?. Ngo…i b? race-kit v?i nhi?u qu… t?ng t? Kun nh?  o, m?, Bib, s?a... c c em c•n nh?n ???c huy ch??ng khi ho…n th…nh ???ng ?ua v… nh?ng gi?i th??ng ??c bi?t nh? runner nh? tu?i nh?t, n? l?c nh?t, thƒn thi?n nh?t... T?i s? ki?n, c?u th? L??ng Xuƒn Tr??ng v… NS?T Xuƒn B?c s? c—ng ch?y v… c—ng giao l?u v?i c c b‚. Ngo…i ra, Lof Kun Happy Run c•n c¢ nh?ng ng“i sao nh? Long Chun, Th? Nguy?n ? Ti?u B?o, B?o Ng?c, Ng?c Gi…u, ?? Kim Ph£c. Lof Kun Happy Run n?m trong h? th?ng c c gi?i ch?y mang th??ng hi?u Kun nh? Kun Marathon, Kun Run, Kun Familly Run... t? ch?c t?i nhi?u t?nh th…nh nh? H? Long, Hu?, Quy Nh?n, TP HCM, H?u Giang... Gi?i truy?n c?m h?ng luy?n t?p, b?o v?, gn gi? s?c kh?e kh“ng ch? cho tr? em, m… c•n c? c c ph? huynh ??n c? v?."
s?c kh?e,"Ng…y 8/8, S? Y t? ??ng Nai th“ng tin v? tr??ng h?p th? 15 t? vong do s?t xu?t huy?t. Theo ?¢, b?nh nhƒn ? x? B?c S?n, huy?n Tr?ng Bom, ph t s?t ng…y 2/8, t??ng c?m c£m bnh th??ng nˆn c“ t? mua thu?c u?ng. Ba ng…y sau, tri?u ch?ng s?t gi?m nh?ng ng??i b?nh b? ?au l?ng, m?t nhi?u, kh¢ th?, t¡m t i, ng??i nh… ??a ??n vi?n c?p c?u. Khi nh?p B?nh vi?n ?a khoa Th?ng Nh?t, b?nh nhƒn trong tnh tr?ng ng?ng tim, s?t xu?t huy?t ng…y th? 4, cho ng nhi?m tr—ng, nh?i m u c? tim. Sau khi ???c c?p c?u, b?nh nhƒn ?? c¢ m?ch, tim ph?i ho?t ??ng tr? l?i nh?ng huy?t  p v?n kh“ng ?o ???c."
s?c kh?e,"Theo c c b c s?, s?t xu?t huy?t th??ng di?n ti?n qua ba giai ?o?n, trung bnh 7 ng…y, trong ?¢ giai ?o?n h?t s?t (ng…y 3-6) l… th?i ?i?m nguy hi?m nh?t c?a b?nh. ? giai ?o?n n…y, tri?u ch?ng s?t gi?m h?n, ph?n l?n ng??i b?nh th?y d? ch?u h?n, gi?m ?au nh?c. Tuy nhiˆn, b?nh nhƒn m?t m?i h?n, tay chƒn n?i ban, ?au v—ng b?ng bˆn ph?i, bu?n n“n, n?ng h?n l… ch?y m u r?ng, m u cam, n“n ra m u, ?i c?u ra m u, tay chƒn l?nh... th ?ƒy l… tri?u ch?ng v…o s?c. N?u kh“ng ???c ph t hi?n k?p th?i v… ?i?u tr? ?£ng c ch, ng??i b?nh c¢ nguy c? t? vong."
s?c kh?e,"?? tr nh b?nh bi?n ch?ng n?ng, c c b c s? khuy?n c o tr??ng h?p s?t 2-3 ng…y tr? lˆn nˆn ngh? ngay ??n s?t xu?t huy?t v… ??n c? s? y t? ?? kh m. Tr? s?t trˆn 38,5 ?? C (?i?u tr? ngo?i tr£), d—ng paracetamol 10-15mg/kg/l?n, 3-4 l?n/ng…y, lau m t b?ng n??c ?m khi s?t cao. Ngo…i ra, ng??i b?nh u?ng nhi?u n??c, th?c ?n l?ng d? tiˆu v… tr nh th?c ?n m…u ??, ?en nƒu (?? tr nh nh?m l?n v?i xu?t huy?t). Khi ???c ch?n ?o n s?t xu?t huy?t, ng??i b?nh ph?i tuƒn th? l?ch t i kh m c?a b c s? l… m?i 12 gi? ho?c h?ng ng…y. L?u ?, b?nh nhƒn h?t s?t c…ng ph?i theo d?i d?u hi?u b?nh s t sao h?n."
s?c kh?e,"Trong b?p m?i gia ?nh nˆn c¢ hai lo?i d?u ?n. M?t lo?i ?? chiˆn r n, c¢ kh? n?ng ch?u nhi?t cao v… m?t lo?i ch? d—ng v?i nh?ng m¢n ?n x…o, ??p th?c ph?m, ?n s?ng tr?c ti?p, l…m salad (d?u h??ng d??ng, ??u n…nh, h?t c?i, “-liu...). Nˆn d—ng c? d?u th?c v?t v… m? ??ng v?t, chia theo ??i t??ng ng??i d—ng. C? th?, tr? em v… ng??i kh?e m?nh s? d?ng song song d?u th?c v?t v… m? ??ng v?t theo t? l? 50:50 ho?c 60:40. Ng??i b‚o ph, cholesterol cao, m? m u, c¢ nguy c? t?ng huy?t  p, ti?u ???ng ch? nˆn d—ng d?u th?c v?t. Ng??i m?c b?nh tim m?ch nˆn d—ng ho…n to…n d?u th?c v?t."
s?c kh?e,"Th?c ph?m ?? qua chiˆn, x…o, r n ? nhi?t ?? r?t cao s? ch?a nh?ng ch?t b‚o chuy?n h¢a - l… lo?i ch?t b‚o kh“ng c¢ gi  tr? dinh d??ng. Ch?a k?, nh?ng th?c ph?m ?? x…o r n c?ng ???c ch? bi?n trong d?u th?c v?t ho?c d?u h?t, c¢ s?n ch?t b‚o chuy?n h¢a tr??c khi ???c ?un n¢ng l?i nh? th?t g… r n, x£c x¡ch r n, ng“ chiˆn, khoai tƒy chiˆn, nem r n... N?u ti?p t?c ???c ?un n¢ng ??n nhi?t ?? cao, h…m l??ng ch?t b‚o chuy?n h¢a c?a m¢n ?n ?¢ s? t?ng lˆn r?t m?nh, l… nguyˆn nhƒn c?a c c b?nh l? tim m?ch (cao huy?t  p, m u nhi?m m?, gan nhi?m m?, x? v?a ??ng m?ch, nh?i m u c? tim)... v… ??c bi?t l… ung th? tr?c tr…ng, t?y..."
